site,rep,exp.group,soil_weight,water_weight,total_weight,jar_size,time_0,time_1,time_2,time_3
,,"A = low, B = med, C = high",g soil,g water,g jar + soil + water,oz,HH:MM:SS,HH:MM:SS,HH:MM:SS,HH:MM:SS
HBLD,A3,A,35.04,17.5,244.41,8,16:34:14,15:58:38,,
HBLD,A4,A,35.02,17.5,338.74,16,,16:02:45,,
HBLD,A5,A,34.99,17.5,337.88,16,,16:05:02,,
HBLD,B1,B,34.97,26,250.51,8,16:36:25,16:07:26,,
HBLD,B2,B,35.05,26,251.41,8,16:38:40,16:09:48,,
HBLD,B3,B,34.98,26,250.77,8,16:40:58,16:12:05,,
HBLD,B4,B,35.05,26,345.97,16,,16:14:29,,
HBLD,B5,B,35.04,26,345.15,16,,16:16:46,,
HBLD,C1,C,35,50,274.65,8,16:43:19,16:19:07,,
HBLD,C2,C,35.03,50,274.96,8,16:45:33,16:21:38,,
HBLD,C3,C,35.06,50,275.09,8,16:47:52,16:24:08,,
HBLD,C4,C,34.9,50,370.48,16,,16:26:36,,
HBLD,C5,C,35.02,50,369.61,16,,16:29:05,,
HBLH,A1,A,34.97,17.5,244.67,8,20:13:48,16:31:41,,
HBLH,A2,A,35,17.5,243.44,8,20:16:54,16:34:23,,
HBLH,A3,A,35.05,17.5,242.93,8,20:19:24,16:36:58,,
HBLH,A4,A,35.01,17.5,338.73,16,,16:39:30,,
HBLH,A5,A,35.02,17.5,338.4,16,,16:42:13,,
HBLH,B1,B,35,26,251.98,8,20:22:01,16:44:33,,
HBLH,B2,B,35.04,26,251.32,8,20:24:18,16:47:09,,
HBLH,B3,B,35.06,26,250.28,8,20:26:32,16:49:34,,
HBLH,B4,B,35.02,26,346.06,16,,16:51:56,,
HBLH,B5,B,35.04,26,344.7,16,,16:54:23,,
HBLH,C1,C,35.04,50,276.4,8,20:28:44,16:56:55,,
HBLH,C2,C,35.03,50,275.99,8,20:31:03,16:59:33,,
HBLH,C3,C,34.99,50,274.68,8,20:33:18,17:02:03,,
HBLH,C4,C,35,50,369.81,16,,17:04:35,,
HBLH,C5,C,35.04,50,370.15,16,,17:07:00,,
